                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1023,                 3.1149,                 1.6975,                 0.0036,                0.99242,                0.30653,                0.19869,                 1.1932,                 3.7989,                 1.9597,             0.00037154,             0.00037154,             0.00037154
                      2,                 1.1185,                 2.6848,                  1.667,                0.00334,                0.95433,                0.31682,                0.14506,                 1.4136,                 3.7898,                 2.3985,             0.00074987,             0.00074987,             0.00074987
                      3,                 1.3019,                 2.3171,                 1.7919,                0.15071,                0.19978,                0.18099,                0.07248,                 1.6783,                 3.6221,                 3.1113,              0.0011206,              0.0011206,              0.0011206
                      4,                 1.3419,                 2.1566,                 1.8403,                0.02015,                0.12892,                0.03185,                0.01089,                  1.531,                 3.5405,                 2.6009,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3123,                 2.0652,                 1.7923,                0.35457,                0.31327,                0.30862,                0.12836,                 1.6161,                 3.1559,                 2.5418,              0.0013724,              0.0013724,              0.0013724
                      6,                 1.2864,                 1.9026,                 1.7552,                0.47247,                0.47147,                0.48324,                0.24936,                 1.6401,                 2.4747,                 2.6519,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.2573,                 1.8656,                 1.7328,                0.61674,                 0.5527,                0.55124,                0.26322,                 1.6828,                 2.6505,                 2.3994,              0.0013441,              0.0013441,              0.0013441
                      8,                 1.2488,                 1.7618,                 1.7064,                0.51251,                0.65916,                0.57144,                0.31173,                  2.114,                 2.9408,                 4.1013,                0.00133,                0.00133,                0.00133
                      9,                 1.2687,                 1.6674,                 1.7194,                0.36977,                0.36124,                0.30082,                0.12307,                  2.486,                 2.7495,                  3.035,              0.0013158,              0.0013158,              0.0013158
                     10,                 1.2378,                 1.6199,                  1.727,                0.52152,                0.59789,                0.54693,                0.27253,                 1.8248,                 2.1141,                 2.3526,              0.0013017,              0.0013017,              0.0013017
                     11,                 1.2194,                  1.573,                 1.6887,                0.51792,                0.53932,                0.52397,                 0.2842,                 1.7479,                 2.0837,                 2.7884,              0.0012875,              0.0012875,              0.0012875
                     12,                 1.2175,                 1.5666,                 1.7106,                0.51625,                0.70011,                0.64558,                0.36322,                 1.6566,                 1.6309,                 2.5646,              0.0012734,              0.0012734,              0.0012734
                     13,                 1.1813,                 1.5235,                 1.6727,                0.55586,                0.58898,                0.60519,                0.31654,                 1.9009,                 1.9099,                 2.5835,              0.0012592,              0.0012592,              0.0012592
                     14,                 1.2276,                 1.4837,                 1.7005,                0.70319,                0.70289,                0.71069,                0.39452,                 1.6063,                 1.6642,                 2.3125,              0.0012451,              0.0012451,              0.0012451
                     15,                 1.2083,                 1.4155,                 1.6968,                0.64682,                0.76645,                0.69919,                0.37314,                 1.6532,                 1.5745,                 2.2302,              0.0012309,              0.0012309,              0.0012309
                     16,                 1.1704,                 1.3748,                 1.6618,                0.61852,                 0.7183,                0.60325,                0.30657,                 1.6812,                 1.7414,                 2.2923,              0.0012168,              0.0012168,              0.0012168
                     17,                 1.2022,                 1.3734,                  1.667,                0.63362,                 0.7129,                0.70972,                0.40465,                   1.64,                 1.5539,                 2.5051,              0.0012026,              0.0012026,              0.0012026
                     18,                 1.1688,                 1.4064,                 1.6508,                 0.6939,                0.70262,                0.73052,                0.37139,                 1.6968,                 1.4158,                 2.3444,              0.0011885,              0.0011885,              0.0011885
                     19,                 1.1816,                 1.3938,                 1.6558,                0.53841,                0.80168,                0.70536,                0.41329,                 1.5278,                 1.6122,                 2.2318,              0.0011744,              0.0011744,              0.0011744
                     20,                 1.1633,                 1.3488,                 1.6318,                0.66062,                0.70103,                0.64651,                0.36504,                 1.6515,                 1.2967,                 2.7285,              0.0011602,              0.0011602,              0.0011602
                     21,                 1.1799,                 1.3216,                 1.6695,                0.58159,                0.69755,                0.59765,                0.36402,                 1.6616,                 1.5419,                 2.6921,              0.0011461,              0.0011461,              0.0011461
                     22,                 1.1967,                 1.3386,                 1.6609,                0.72384,                0.66424,                 0.6933,                0.39212,                 1.6555,                 1.4289,                 2.3959,              0.0011319,              0.0011319,              0.0011319
                     23,                 1.0852,                 1.2981,                  1.599,                0.72471,                0.72717,                0.76019,                0.42983,                 1.6454,                 1.3692,                 2.3141,              0.0011178,              0.0011178,              0.0011178
                     24,                 1.1393,                 1.2284,                 1.6339,                 0.8288,                0.78315,                0.83051,                0.47611,                 1.5921,                 1.0585,                  2.183,              0.0011036,              0.0011036,              0.0011036
                     25,                 1.1141,                 1.1844,                 1.6191,                0.79865,                0.79829,                0.80307,                0.45455,                 1.5234,                 1.1543,                 2.1119,              0.0010895,              0.0010895,              0.0010895
                     26,                 1.1231,                 1.1927,                 1.6165,                0.74843,                0.75766,                0.77422,                0.44173,                 1.5577,                 1.1691,                 2.3176,              0.0010753,              0.0010753,              0.0010753
                     27,                  1.133,                 1.1595,                 1.6179,                0.73425,                0.78512,                 0.7886,                0.41939,                 1.6877,                 1.2541,                 2.2367,              0.0010612,              0.0010612,              0.0010612
                     28,                 1.1384,                 1.1699,                 1.6372,                0.53076,                0.71126,                0.63101,                0.35423,                 1.5824,                 1.5965,                  2.422,               0.001047,               0.001047,               0.001047
                     29,                 1.0981,                 1.1641,                 1.6108,                0.72492,                0.75879,                0.77867,                0.42183,                 1.6025,                 1.1494,                 2.2009,              0.0010329,              0.0010329,              0.0010329
                     30,                 1.1081,                 1.1849,                 1.6486,                0.69429,                0.78651,                0.75904,                 0.4532,                 1.5276,                 1.2349,                 2.1328,              0.0010187,              0.0010187,              0.0010187
                     31,                 1.0651,                 1.0643,                  1.579,                0.69846,                0.84079,                0.83489,                0.47249,                 1.6157,                 1.1447,                 2.2077,              0.0010046,              0.0010046,              0.0010046
                     32,                 1.1356,                  1.136,                 1.6197,                0.78381,                0.87266,                0.82934,                0.46537,                 1.6043,                 1.0701,                 2.1793,             0.00099044,             0.00099044,             0.00099044
                     33,                 1.0837,                 1.1242,                 1.5882,                0.73938,                0.73512,                0.72658,                0.43555,                 1.6963,                 1.0441,                 2.6702,             0.00097629,             0.00097629,             0.00097629
                     34,                 1.1138,                 1.1312,                 1.6119,                0.78882,                0.77397,                0.80541,                0.42537,                 1.7374,                 1.1668,                 2.3894,             0.00096215,             0.00096215,             0.00096215
                     35,                 1.0763,                 1.0775,                 1.5692,                0.81017,                0.86318,                0.83473,                0.49724,                 1.5144,                0.92731,                 2.1631,               0.000948,               0.000948,               0.000948
                     36,                 1.0891,                 1.0806,                 1.5946,                0.78591,                0.80328,                0.82786,                0.40173,                 1.7111,                 1.0715,                  2.303,             0.00093385,             0.00093385,             0.00093385
                     37,                 1.0228,                 1.1114,                 1.5538,                0.56795,                0.71262,                0.72349,                0.43996,                 1.5223,                 1.4441,                 2.1288,              0.0009197,              0.0009197,              0.0009197
                     38,                 1.0499,                 1.0615,                 1.5904,                0.79971,                0.86958,                0.83147,                 0.4923,                 1.5382,                 0.8925,                 2.1551,             0.00090556,             0.00090556,             0.00090556
                     39,                 1.0845,                 1.0668,                 1.6072,                0.78586,                0.77283,                0.77662,                0.46406,                 1.6159,                0.95842,                 2.3513,             0.00089141,             0.00089141,             0.00089141
                     40,                 1.0397,                 1.0481,                 1.5631,                0.75908,                0.77107,                 0.7684,                0.45935,                 1.5611,                 1.0142,                  2.244,             0.00087726,             0.00087726,             0.00087726
                     41,                 1.0558,                 1.0312,                 1.5782,                0.78564,                 0.8044,                0.81639,                0.47847,                 1.5369,                 1.0096,                 2.1573,             0.00086312,             0.00086312,             0.00086312
                     42,                 1.0357,                 1.0059,                 1.5341,                 0.7841,                0.82542,                0.81643,                0.46379,                 1.5786,                 1.0458,                  2.255,             0.00084897,             0.00084897,             0.00084897
                     43,                 1.0784,                 1.0286,                 1.6057,                0.66325,                 0.8134,                0.77637,                0.44663,                 1.5262,                 1.1063,                 2.1885,             0.00083482,             0.00083482,             0.00083482
                     44,                0.99598,                 1.0138,                 1.5261,                0.71786,                0.83457,                 0.7875,                0.45323,                 1.5324,                 1.0244,                 2.1953,             0.00082067,             0.00082067,             0.00082067
                     45,                 1.0214,                 1.0068,                 1.5308,                0.81552,                0.76862,                0.76741,                0.45888,                 1.5286,                 1.0273,                    2.2,             0.00080653,             0.00080653,             0.00080653
                     46,                0.99802,                0.98351,                 1.5431,                0.81066,                0.86918,                0.82246,                 0.4801,                 1.5566,                 0.8872,                 2.2457,             0.00079238,             0.00079238,             0.00079238
                     47,                 1.0022,                0.99479,                 1.5331,                0.76324,                0.79532,                0.80915,                0.45913,                  1.587,                0.97506,                 2.1798,             0.00077823,             0.00077823,             0.00077823
                     48,                  1.003,                0.97567,                 1.5372,                0.80103,                0.82251,                0.82247,                0.49202,                 1.4993,                0.98402,                 2.0806,             0.00076409,             0.00076409,             0.00076409
                     49,                0.98124,                0.95409,                 1.4878,                0.78861,                0.79513,                0.81363,                0.47436,                 1.4834,                0.96913,                 2.1869,             0.00074994,             0.00074994,             0.00074994
                     50,                  1.026,                 0.9302,                 1.5772,                0.74492,                 0.8151,                0.78343,                0.43636,                 1.6333,                  1.079,                 2.3242,             0.00073579,             0.00073579,             0.00073579
                     51,                0.98658,                0.94921,                 1.5103,                0.76579,                0.84345,                 0.8341,                0.45473,                 1.6807,                0.96721,                 2.2853,             0.00072164,             0.00072164,             0.00072164
                     52,                0.97424,                0.92742,                 1.5255,                0.63011,                 0.7461,                0.75849,                0.43485,                 1.6136,                 1.3247,                 2.2465,              0.0007075,              0.0007075,              0.0007075
                     53,                0.93784,                0.91828,                 1.4835,                0.77651,                0.79075,                0.80842,                0.48389,                 1.6362,                0.91735,                 2.2666,             0.00069335,             0.00069335,             0.00069335
                     54,                0.92186,                0.91119,                 1.4716,                0.81744,                0.87519,                0.86163,                0.49833,                 1.5984,                0.87449,                 2.1413,              0.0006792,              0.0006792,              0.0006792
                     55,                0.98313,                0.90647,                 1.5127,                0.78997,                 0.8368,                0.81543,                0.49952,                 1.5059,                0.82706,                 2.1452,             0.00066506,             0.00066506,             0.00066506
                     56,                0.93214,                0.88632,                 1.4724,                0.80095,                0.86717,                0.83743,                0.51236,                 1.5133,                0.82373,                 2.0772,             0.00065091,             0.00065091,             0.00065091
                     57,                0.95468,                0.88509,                 1.5047,                0.77674,                0.85877,                0.83216,                0.50872,                  1.495,                0.91991,                 2.1394,             0.00063676,             0.00063676,             0.00063676
                     58,                  0.908,                 0.8795,                 1.4414,                0.81332,                0.87974,                 0.8514,                0.50053,                 1.5226,                0.85083,                 2.1611,             0.00062262,             0.00062262,             0.00062262
                     59,                0.92671,                0.86049,                 1.4627,                0.77516,                0.84623,                0.82114,                 0.4848,                 1.5863,                0.98401,                 2.3259,             0.00060847,             0.00060847,             0.00060847
                     60,                0.92456,                0.85828,                 1.4745,                 0.7989,                0.84092,                0.84858,                0.51928,                 1.5342,                0.84189,                  2.226,             0.00059432,             0.00059432,             0.00059432
                     61,                0.90334,                0.83669,                 1.4381,                0.82678,                0.81406,                0.86467,                 0.5284,                 1.5255,                0.85667,                 2.1867,             0.00058017,             0.00058017,             0.00058017
