                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.61213,                 2.1094,                 1.1165,                0.51511,                0.64739,                 0.6248,                0.47379,                0.72691,                 2.3671,                 1.3054,             0.00047326,             0.00047326,             0.00047326
                      2,                0.67846,                 1.4279,                 1.1521,                0.54044,                0.67498,                0.61963,                0.46606,                0.83618,                 2.3624,                 1.3541,             0.00094019,             0.00094019,             0.00094019
                      3,                0.73023,                 1.2812,                 1.1785,                0.66916,                0.62549,                0.66697,                0.48768,                0.92317,                 1.7852,                 1.4877,              0.0013977,              0.0013977,              0.0013977
                      4,                0.71658,                 1.1425,                 1.1709,                0.57406,                0.58036,                0.53518,                0.35454,                 1.0026,                 2.1452,                 1.5375,              0.0013866,              0.0013866,              0.0013866
                      5,                0.67193,                  1.023,                 1.1443,                0.80123,                0.76206,                 0.8061,                0.60379,                0.82769,                 1.1314,                 1.3649,              0.0013724,              0.0013724,              0.0013724
                      6,                0.66743,                0.98663,                 1.1387,                0.73582,                0.71347,                0.78059,                0.62807,                0.72667,                 1.1736,                 1.2518,              0.0013583,              0.0013583,              0.0013583
                      7,                0.62992,                0.89562,                 1.1166,                0.76817,                0.76561,                 0.8215,                0.67404,                0.69665,                 1.0607,                 1.2756,              0.0013441,              0.0013441,              0.0013441
                      8,                0.62982,                0.88344,                 1.1211,                0.76484,                0.75327,                 0.7841,                0.63861,                0.68731,                 1.0277,                 1.2394,                0.00133,                0.00133,                0.00133
                      9,                0.60986,                0.85873,                 1.0959,                0.79212,                0.81326,                0.86427,                0.71826,                0.64383,                0.89836,                 1.1781,              0.0013158,              0.0013158,              0.0013158
                     10,                0.59951,                0.82556,                  1.095,                0.78211,                 0.7905,                0.82366,                0.69181,                0.62543,                0.88213,                 1.1597,              0.0013017,              0.0013017,              0.0013017
                     11,                0.58127,                0.80573,                  1.087,                0.82099,                0.81618,                0.86166,                0.75098,                0.58423,                0.79515,                 1.1103,              0.0012875,              0.0012875,              0.0012875
                     12,                0.57652,                0.79684,                 1.0859,                0.84351,                 0.8369,                0.88294,                0.77041,                0.55148,                0.70733,                 1.0846,              0.0012734,              0.0012734,              0.0012734
                     13,                0.56911,                0.77643,                 1.0812,                0.80017,                0.77862,                0.85358,                0.71628,                0.59987,                0.81415,                 1.1373,              0.0012592,              0.0012592,              0.0012592
                     14,                 0.5557,                0.75248,                 1.0789,                0.79401,                0.84382,                0.87823,                 0.7655,                0.55831,                0.80775,                 1.1012,              0.0012451,              0.0012451,              0.0012451
                     15,                0.54243,                0.72933,                 1.0671,                0.83576,                0.79979,                0.86664,                0.72946,                0.59682,                0.82858,                  1.121,              0.0012309,              0.0012309,              0.0012309
                     16,                0.53937,                0.71381,                 1.0611,                0.84529,                0.81326,                 0.8778,                0.76753,                0.53938,                 0.7254,                 1.0736,              0.0012168,              0.0012168,              0.0012168
                     17,                 0.5198,                0.70003,                 1.0544,                0.78791,                0.82144,                 0.8765,                0.77501,                0.52707,                0.80341,                 1.0663,              0.0012026,              0.0012026,              0.0012026
                     18,                 0.5182,                0.67022,                 1.0466,                0.80036,                0.83443,                0.87891,                0.76086,                0.54298,                 0.7819,                 1.0906,              0.0011885,              0.0011885,              0.0011885
                     19,                0.51428,                0.65996,                 1.0489,                0.82759,                0.82989,                0.86723,                0.75898,                0.53266,                0.73501,                 1.0802,              0.0011744,              0.0011744,              0.0011744
                     20,                0.50648,                0.64515,                 1.0434,                0.83618,                0.84286,                0.87015,                0.76289,                0.54075,                0.68759,                 1.0729,              0.0011602,              0.0011602,              0.0011602
                     21,                0.50299,                0.62914,                   1.04,                0.79511,                 0.7817,                0.85145,                0.74378,                0.53343,                0.79163,                  1.094,              0.0011461,              0.0011461,              0.0011461
                     22,                 0.5033,                0.64456,                 1.0388,                0.88761,                0.85623,                0.89603,                0.80233,                0.50024,                0.62205,                 1.0488,              0.0011319,              0.0011319,              0.0011319
                     23,                0.50224,                0.62946,                 1.0339,                0.87165,                0.86002,                0.89539,                 0.7947,                0.52355,                0.65472,                 1.0766,              0.0011178,              0.0011178,              0.0011178
                     24,                0.48696,                0.60452,                 1.0301,                0.88847,                0.86981,                0.91168,                0.81526,                0.49101,                0.56009,                 1.0236,              0.0011036,              0.0011036,              0.0011036
                     25,                0.49926,                0.63432,                 1.0394,                0.86867,                0.87088,                0.92008,                0.82481,                0.48193,                0.60634,                 1.0357,              0.0010895,              0.0010895,              0.0010895
                     26,                0.48957,                0.60378,                 1.0327,                0.86561,                0.86568,                0.89988,                0.80182,                0.48181,                0.59677,                 1.0189,              0.0010753,              0.0010753,              0.0010753
                     27,                0.48244,                 0.5897,                 1.0241,                0.84028,                0.85719,                0.88964,                0.78341,                0.50465,                0.65012,                 1.0425,              0.0010612,              0.0010612,              0.0010612
                     28,                0.48343,                0.58059,                 1.0313,                0.84918,                0.88404,                0.90155,                0.80212,                0.50902,                0.60821,                 1.0641,               0.001047,               0.001047,               0.001047
                     29,                 0.4796,                0.59924,                 1.0277,                0.87579,                0.87957,                0.90893,                0.82092,                0.47546,                0.57187,                 1.0235,              0.0010329,              0.0010329,              0.0010329
                     30,                0.47516,                0.57698,                 1.0254,                0.86585,                0.87162,                0.91069,                0.80567,                0.48749,                0.59545,                 1.0253,              0.0010187,              0.0010187,              0.0010187
                     31,                0.47606,                0.57433,                 1.0246,                0.87374,                0.88387,                0.91336,                0.82494,                 0.4606,                0.54097,                 1.0071,              0.0010046,              0.0010046,              0.0010046
                     32,                 0.4665,                0.54644,                 1.0179,                0.87202,                0.86397,                0.89566,                 0.7917,                0.49657,                0.63932,                 1.0416,             0.00099044,             0.00099044,             0.00099044
                     33,                0.46318,                0.55738,                 1.0173,                0.86105,                0.87119,                 0.9015,                0.81683,                0.45485,                0.58366,                 1.0143,             0.00097629,             0.00097629,             0.00097629
                     34,                0.46711,                0.55713,                 1.0229,                0.86838,                0.89481,                0.91374,                0.82874,                0.45363,                0.56071,                0.99499,             0.00096215,             0.00096215,             0.00096215
                     35,                0.45251,                 0.5364,                 1.0102,                0.87336,                0.87932,                0.91058,                0.81876,                0.46067,                0.54494,                 1.0095,               0.000948,               0.000948,               0.000948
                     36,                0.45863,                0.53983,                 1.0078,                0.87788,                0.89253,                0.92127,                0.84203,                0.42865,                0.51428,                0.97496,             0.00093385,             0.00093385,             0.00093385
                     37,                0.44719,                0.52745,                 1.0075,                0.88214,                0.85322,                0.91252,                0.82664,                0.45282,                0.54091,                  1.005,              0.0009197,              0.0009197,              0.0009197
                     38,                0.44089,                0.51184,                 1.0028,                 0.8911,                 0.8855,                0.92091,                 0.8418,                0.43846,                0.51467,                0.97885,             0.00090556,             0.00090556,             0.00090556
                     39,                0.44457,                0.51458,                 1.0033,                0.86994,                 0.9028,                0.92502,                0.84115,                0.43758,                0.51267,                0.98223,             0.00089141,             0.00089141,             0.00089141
                     40,                0.44066,                0.50697,                 1.0039,                0.88367,                0.89189,                0.91509,                0.82884,                0.46334,                0.52837,                 1.0049,             0.00087726,             0.00087726,             0.00087726
                     41,                0.44266,                0.50523,                 1.0035,                0.89046,                0.89155,                0.92198,                0.83681,                0.43105,                0.48874,                0.98139,             0.00086312,             0.00086312,             0.00086312
                     42,                0.43852,                0.50458,                  1.007,                0.89065,                0.86309,                0.91051,                0.82945,                  0.458,                0.53405,                0.99866,             0.00084897,             0.00084897,             0.00084897
